,name,address,city,rating,description,link,lon,lat
269,Kyriad Hotel Dijon Gare,"7-9 Rue Docteur Albert Remy, Dijon",Dijon,7.4,Le Kyriad Hotel Dijon Gare vous accueille à 120 mètres de la gare de Dijon. Il dispose d'une piscine intérieure et de chambres insonorisées avec une connexion Wi-Fi gratuite. Lire plus…,https://www.booking.com/hotel/fr/kyriad-gare.fr.html?,,
270,Adonis Dijon Maison Internationale,"7 Avenue Alain Savary, Dijon",Dijon,8.1,"Doté d'un jardin, l'établissement Maison Internationale accueille les animaux domestiques. Il se trouve à Dijon, à 3 km du parc des expositions et des congrès de Dijon. Lire plus…",https://www.booking.com/hotel/fr/maison-internationale.fr.html?,,
271,Kyriad Prestige Dijon Nord - Valmy,"Impasse aux Charmes D'asnières - Zac Valmy, Dijon",Dijon,8.5,"Disposant d'une réception ouverte 24h/24, le Kyriad Prestige Dijon Nord - Valmy est situé à 5 km de la gare de Dijon. Lire plus…",https://www.booking.com/hotel/fr/kyriad-prestige-dijon-nord-valmy-xml.fr.html?,,
272,Hôtel Restaurant Du Stade,"3 bd de Strasbourg, Dijon",Dijon,7.3,"Situé à Dijon, l'Hôtel Restaurant Du Stade propose une connexion Wi-Fi gratuite et une cour intérieure avec terrasse, à 8 minutes à pied du centre historique, de l'hôpital Bocage et de l'université,...Lire plus…",https://www.booking.com/hotel/fr/du-stade.fr.html?,,
273,Campanile Dijon Centre - Gare,"15-17 avenue Foch, Dijon",Dijon,6.9,"Le Campanile Dijon Centre - Gare est situé dans le centre de Dijon, à 100 mètres de la gare SNCF de Dijon-Ville. Lire plus…",https://www.booking.com/hotel/fr/campanile-dijon-centre-gare-xml.fr.html?,,
274,Oceania Le Jura Dijon,"14 Avenue Foch, Dijon",Dijon,8.6,"L'Oceania Le Jura Dijon vous accueille dans le centre-ville, à 200 mètres de la gare et à 10 minutes de tramway du Palais des Congrès. Lire plus…",https://www.booking.com/hotel/fr/tidijon.fr.html?,,
275,Hotel Le Jacquemart,"32 Rue Verrerie, Dijon",Dijon,8.4,"Situé au cœur de Dijon, capitale de la Bourgogne, près du Palais des Ducs de Bourgogne, l'hôtel Le Jacquemart bénéficie d’une situation privilégiée dans le quartier des Antiquaires. Lire plus…",https://www.booking.com/hotel/fr/le-jacquemart.fr.html?,,
276,Hôtel Le Sauvage,"64, rue Monge, Dijon",Dijon,7.1,"L'Hôtel le Sauvage occupe une ancienne auberge restaurée datant du XVe siècle dans le centre de Dijon, à seulement 400 mètres de la cathédrale. Lire plus…",https://www.booking.com/hotel/fr/ha-tel-le-sauvage-dijon1.fr.html?,,
277,Kyriad Dijon Est Mirande,"12-14,Rue Pierre De Coubertin, Dijon",Dijon,7.5,"Cet hôtel-restaurant est un établissement fonctionnel situé à l'est de Dijon, à 15 minutes de route de la gare, du parc des expositions et du centre-ville. Lire plus…",https://www.booking.com/hotel/fr/kyriad-dijon-est-mirande.fr.html?,,
278,Hôtel le Thurot,"4 et 6 passage Thurot, Dijon",Dijon,7.9,"Doté d’une connexion Wi-Fi gratuite, l’Hôtel le Thurot vous accueille à 300 mètres du centre-ville et de la gare de Dijon. Lire plus…",https://www.booking.com/hotel/fr/le-thurot-dijon.fr.html?,,
279,Hôtel Lamartine,"12 rue Jules Mercier, Dijon",Dijon,7.6,"L'Hôtel Lamartine est situé dans le centre de Dijon, dans une zone entièrement piétonne, à seulement 200 mètres du musée des beaux-arts. Un petit-déjeuner continental est servi chaque matin. Lire plus…",https://www.booking.com/hotel/fr/lamartine-dijon.fr.html?,,
280,Le Luxury Design de la Vieille Ville,"17 Rue Sainte-Claire, Annecy",Annecy,  9,"Situé à 100 mètres du château d'Annecy, à Annecy, l'établissement Les Hauts d'Annecy. Le Luxury Design de la Vieille Ville propose des hébergements avec une cuisine. Lire plus…",https://www.booking.com/hotel/fr/le-luxury-design-de-la-vieille-ville.fr.html?,,
281,Annecy nouveau Le 2 Fg Sainte Claire vieille ville 4 personnes 3 étoiles Tourisme au calme proche lac et gare 5 min pas de parking privé sur place dans la rue,"2 eme etage 2 Faubourg Sainte-Claire, Annecy",Annecy,7.3,"L'établissement Annecy Le 2 est situé à Annecy, à 1,2 km du château d'Annecy, à 2,4 km du palais de l'Isle et à 1,2 km du musée du château d'Annecy. Lire plus…",https://www.booking.com/hotel/fr/le-deux-faubourg-sainte-claire-annecy.fr.html?,,
282,Appart L'avant Scene Tresums,"13, avenue du Tresum, Annecy",Annecy,8.2,"Situé à 600 mètres du palais de l'Île, l'Appart L'avant Scene Tresums vous propose un jardin et une terrasse, ainsi que des hébergements climatisés avec un balcon et une connexion Wi-Fi gratuite. Lire plus…",https://www.booking.com/hotel/fr/apparte-l-avant-scene-tresums.fr.html?,,
283,le panorama du lac,"appartement 407 Avenue du Tresum 15, Annecy",Annecy,  8,"Offrant une vue sur la montagne, le panorama du lac propose un hébergement avec une terrasse et une bouilloire, à environ 500 mètres du palais de l'Isle. Lire plus…",https://www.booking.com/hotel/fr/le-panorama-du-lac.fr.html?,,
284,Best Western Plus Hotel Carlton Annecy,"5 Rue des Glières, Annecy",Annecy,8.4,"Le Best Western Carlton Annecy est installé dans le centre d'Annecy, aux portes de la ville médiévale. Le lac d'Annecy se trouve à 10 minutes à pied. Lire plus…",https://www.booking.com/hotel/fr/bestwesterncarlton.fr.html?,,
285,Best Western Hotel International,"19, Avenue du Rhône, Annecy",Annecy,  8,"Doté d'une salle de sport avec un hammam et un jacuzzi, le Best Western Hotel International est situé à l'entrée d'Annecy, à 2 km du lac d'Annecy et du centre-ville. Lire plus…",https://www.booking.com/hotel/fr/best-western-international.fr.html?,,
286,Zenitude Hôtel-Résidences Les Hauts d'Annecy,"16, rue du Champ de la Taillee, Annecy",Annecy,  7,"Le Zenitude Hôtel - Résidences Les Hauts d’Annecy se situe à Seynod, à 3 km du lac d’Annecy et à 2 km du centre-ville. Lire plus…",https://www.booking.com/hotel/fr/appart-city-annecy-seynod.fr.html?,,
287,Atipik Hôtel Alexandra,"19, Rue Vaugelas, Annecy",Annecy,8.5,"Installé à 200 mètres des rives du lac d'Annecy, l'Atipik Hôtel Alexandra se trouve à l'entrée de la vieille ville médiévale ainsi que de ses rues piétonnes et commerçantes. Lire plus…",https://www.booking.com/hotel/fr/hotelalexandra.fr.html?,,
288,Hôtel des Alpes,"12 Rue De La Poste, Annecy",Annecy,8.6,"L'Hôtel des Alpes propose un hébergement 2 étoiles à 10 minutes à pied du lac d'Annecy et à 100 mètres de la gare. La vieille ville, les boutiques et les restaurants sont accessibles à pied. Lire plus…",https://www.booking.com/hotel/fr/hotel-des-alpes.fr.html?,,
289,Hôtel du Château,"16, rampe du Château, Annecy",Annecy,8.7,"Offrant une vue sur la vieille ville, l’Hotel du Chateau est situé au pied du château d’Annecy. Sa réception est dotée d’une connexion Wi-Fi gratuite. Lire plus…",https://www.booking.com/hotel/fr/du-chateau-annecy.fr.html?,,
290,Best Hotel Annecy,"138 rue des paquerettes Cran Gevrier, Annecy",Annecy,  8,"Le Best Hôtel Annecy - Cran Gevrier est installé à seulement 3,5 km du lac d’Annecy et à 4 minutes de route du centre-ville d’Annecy. Il propose des chambres dotées d’une connexion Wi-Fi gratuite. Lire plus…",https://www.booking.com/hotel/fr/best-ha-tel-annecy.fr.html?,,
291,Ibis Annecy - Cran-Gevrier,"38, Avenue De La République, Annecy",Annecy,6.7,"Installé à 5 minutes en voiture du centre-ville et du lac d’Annecy, l’ibis Annecy - Cran-Gevrier vous propose des hébergements confortables et abordables, parfaits pour un séjour de courte durée ou...Lire plus…",https://www.booking.com/hotel/fr/hotel-balladins-annecy-superior.fr.html?,,
292,Séjours & Affaires Annecy Le Pont Neuf,"8 Rue Du Rond Point - Cran Gévrier, Annecy",Annecy,  7,L'établissement Séjours & Affaires Annecy Le Pont Neuf se situe à 3 km du lac d'Annecy et à 1 km du centre-ville historique. Lire plus…,https://www.booking.com/hotel/fr/sejours-affaires-annecy-le-pont-neuf.fr.html?,,
293,Centre Jean XXIII,"Annecy-le-Vieux 10 Chemin du Bray, Annecy",Annecy,7.6,"Doté d’une terrasse bien exposée, le Centre Jean XXIII se trouve à Annecy, à 1,8 km du lac et à 3 km de la vieille ville. Lire plus…",https://www.booking.com/hotel/fr/centre-jean-xxiii.fr.html?,,
